t,cls,x,y,w,h,s_pinhole_m,s_depth_m,abs_diff_m,s_stereo_m,ego_v_mps,mu,sigma_depth
7.299999999999932,stop sign,647,218,47,47,7.659574468085109,13.669044494628906,6.009470026543798,13.642106056213379,1.8584735649996031,0.6,0.08985300436308806
7.319999999999932,stop sign,647,218,48,47,7.659574468085109,13.632357597351074,5.972783129265966,13.59737777709961,1.8493001548495172,0.6,0.08292241744482097
7.3399999999999315,stop sign,647,218,48,47,7.659574468085109,13.59605884552002,5.936484377434911,13.552942276000977,1.8405123284158988,0.6,0.07780971474049989
7.359999999999931,stop sign,647,217,47,48,7.500000000000003,13.5601167678833,6.060116767883298,13.508795738220215,1.8316507306573029,0.6,0.07423082284747513
7.379999999999931,stop sign,648,217,48,47,7.659574468085109,13.523847579956055,5.864273111870946,13.552942276000977,1.8228239739597387,0.6,0.07159707377188669
7.39999999999993,stop sign,649,217,49,48,7.500000000000003,13.487578392028809,5.987578392028806,13.464935302734375,1.8140478487412186,0.6,0.0698819741694459
7.41999999999993,stop sign,649,217,49,48,7.500000000000003,13.451993942260742,5.9519939422607395,13.464935302734375,1.8052974946061653,0.6,0.06842562676090301
7.439999999999929,stop sign,650,217,50,48,7.500000000000003,13.416111946105957,5.916111946105954,13.37806510925293,1.7966980546066345,0.6,0.06740618357492298
7.459999999999929,stop sign,650,217,50,48,7.500000000000003,13.38088607788086,5.880886077880857,13.37806510925293,1.7880099775031826,0.6,0.06644103578332033
7.4799999999999285,stop sign,650,217,50,48,7.500000000000003,13.345868110656738,5.845868110656736,13.37806510925293,1.779471500873022,0.6,0.06576543232919849
7.499999999999928,stop sign,651,217,49,47,7.659574468085109,13.311088562011719,5.65151409392661,13.24984073638916,1.7709674755831852,0.6,0.06529250991131319
7.519999999999928,stop sign,652,217,49,48,7.500000000000003,13.276101112365723,5.77610111236572,13.37806510925293,1.7624815427928076,0.6,0.06459328185766754
7.539999999999927,stop sign,652,216,49,48,7.500000000000003,13.241708755493164,5.741708755493161,13.165715217590332,1.753940105661698,0.6,0.06434814687445632
7.559999999999927,stop sign,652,216,49,48,7.500000000000003,13.207376480102539,5.707376480102536,13.24984073638916,1.7456302370117638,0.6,0.06369256788603872
7.579999999999926,stop sign,653,215,49,49,7.346938775510206,13.173044204711914,5.826105429201708,13.124051094055176,1.7371101583504562,0.6,0.0820021452494332
7.599999999999926,stop sign,653,215,49,49,7.346938775510206,13.139010429382324,5.792071653872118,13.124051094055176,1.728728837278385,0.6,0.07581579751188637
7.6199999999999255,stop sign,654,215,49,48,7.500000000000003,13.105035781860352,5.605035781860349,13.082650184631348,1.7205010292198024,0.6,0.07160242693116821
7.639999999999925,stop sign,654,215,49,48,7.500000000000003,13.07129955291748,5.571299552917478,13.041509628295898,1.7121849250767935,0.6,0.06842019478523126
7.659999999999925,stop sign,655,215,50,49,7.346938775510206,13.037264823913574,5.690326048403368,13.041509628295898,1.7038983623079553,0.6,0.06607768062780672
7.679999999999924,stop sign,655,215,50,49,7.346938775510206,13.003915786743164,5.656977011232958,12.960000991821289,1.6956422924263517,0.6,0.06443792071760954
7.699999999999924,stop sign,656,214,49,49,7.346938775510206,12.970865249633789,5.623926474123583,12.960000991821289,1.6875204784930475,0.6,0.06306400426501912
7.719999999999923,stop sign,656,214,49,49,7.346938775510206,12.937785148620605,5.5908463731103994,12.91962718963623,1.679426258919718,0.6,0.062102262748205836
7.739999999999923,stop sign,657,214,49,50,7.200000000000002,12.904525756835938,5.7045257568359355,12.87950325012207,1.6712355514350588,0.6,0.061317909708665734
7.7599999999999225,stop sign,657,214,49,50,7.200000000000002,12.871772766113281,5.671772766113279,12.87950325012207,1.6631846055295356,0.6,0.06065772860321685
7.779999999999922,stop sign,658,214,49,50,7.200000000000002,12.839019775390625,5.639019775390623,12.800000190734863,1.6551832687549008,0.6,0.06019560182940264
7.799999999999922,stop sign,658,213,49,50,7.200000000000002,12.806714057922363,5.606714057922361,12.800000190734863,1.647216232838493,0.6,0.059763100290257824
7.819999999999921,stop sign,659,214,49,50,7.200000000000002,12.774110794067383,5.574110794067381,12.760616302490234,1.6392751094093467,0.6,0.05946034921285646
7.839999999999921,stop sign,658,214,50,50,7.200000000000002,12.741983413696289,5.541983413696287,12.68256950378418,1.6314483315533903,0.6,0.07633589866910373
7.85999999999992,stop sign,658,214,50,50,7.200000000000002,12.71003532409668,5.510035324096678,12.72147274017334,1.6235106689412044,0.6,0.08772672875928676
7.87999999999992,stop sign,659,213,51,50,7.200000000000002,12.678206443786621,5.478206443786619,12.643902778625488,1.6157300549802491,0.6,0.07881898360893584
7.8999999999999195,stop sign,659,213,51,51,7.058823529411767,12.646556854248047,5.58773332483628,12.68256950378418,1.6078536973986628,0.6,0.07237147414894719
7.919999999999919,stop sign,660,213,51,51,7.058823529411767,12.614906311035156,5.556082781623389,12.567273139953613,1.600125313820757,0.6,0.06796341264693215
7.939999999999919,stop sign,661,213,51,51,7.058823529411767,12.58343505859375,5.524611529181983,12.529305458068848,1.5922901396155493,0.6,0.06456430429829947
7.959999999999918,stop sign,661,213,51,50,7.200000000000002,12.55223274230957,5.352232742309568,12.529305458068848,1.5845856837532413,0.6,0.06208227808008248
7.979999999999918,stop sign,661,213,52,51,7.058823529411767,12.521148681640625,5.462325152228858,12.454054832458496,1.5769011265666246,0.6,0.060344859727330585
7.999999999999917,stop sign,661,213,52,51,7.058823529411767,12.490273475646973,5.4314499462352055,12.49156665802002,1.5692249089643129,0.6,0.0589259108778589
8.019999999999918,stop sign,661,212,52,51,7.058823529411767,12.459695816040039,5.400872286628272,12.416767120361328,1.5615737314746294,0.6,0.058033600560200925
8.039999999999917,stop sign,661,212,52,51,7.058823529411767,12.429119110107422,5.370295580695655,12.416767120361328,1.5539308587885132,0.6,0.05710951581891467
8.059999999999917,stop sign,662,212,52,51,7.058823529411767,12.398541450500488,5.339717921088721,12.342857360839844,1.5463074573877018,0.6,0.05656148919669055
8.079999999999917,stop sign,662,212,53,51,7.058823529411767,12.368203163146973,5.3093796337352055,12.342857360839844,1.5386943550069023,0.6,0.055883068968306825
8.099999999999916,stop sign,663,212,52,51,7.058823529411767,12.338043212890625,5.279219683478858,12.306232452392578,1.5310999209902123,0.6,0.05540817480843821
8.119999999999916,stop sign,664,212,52,51,7.058823529411767,12.307942390441895,5.249118861030127,12.26982307434082,1.5236319531514426,0.6,0.055075748896530184
8.139999999999915,stop sign,664,211,52,52,6.923076923076925,12.2781400680542,5.355063144977274,12.23362922668457,1.5159507119034965,0.6,0.05474718749041521
8.159999999999915,stop sign,664,211,52,52,6.923076923076925,12.248517036437988,5.325440113361063,12.23362922668457,1.5085112902395381,0.6,0.05432673978468393
8.179999999999914,stop sign,665,211,52,52,6.923076923076925,12.218833923339844,5.295757000262919,12.197648048400879,1.5009727228530947,0.6,0.0541270167267564
8.199999999999914,stop sign,665,211,52,52,6.923076923076925,12.189448356628418,5.266371433551493,12.197648048400879,1.4935612880890023,0.6,0.05389262025012276
8.219999999999914,stop sign,666,211,52,52,6.923076923076925,12.160122871398926,5.237045948322001,12.12631607055664,1.4860500711262794,0.6,0.05372854271647921
8.239999999999913,stop sign,666,211,52,52,6.923076923076925,12.131035804748535,5.20795888167161,12.12631607055664,1.478542972152316,0.6,0.053427051398975786
8.259999999999913,stop sign,666,211,53,52,6.923076923076925,12.102008819580078,5.178931896503153,12.090962409973145,1.4711484159460846,0.6,0.06875651640263815
8.279999999999912,stop sign,667,211,52,52,6.923076923076925,12.073160171508789,5.150083248431864,12.020870208740234,1.4637701352029184,0.6,0.06385416270591153
8.299999999999912,stop sign,667,211,52,52,6.923076923076925,12.044489860534668,5.121412937457743,12.055814743041992,1.4561696170641696,0.6,0.06024054400034878
8.319999999999911,stop sign,668,210,52,53,6.792452830188681,12.015939712524414,5.223486882335733,11.95158576965332,1.4489244967030273,0.6,0.07316371548509293
8.339999999999911,stop sign,668,210,52,53,6.792452830188681,11.987567901611328,5.195115071422647,11.986127853393555,1.4415293764880337,0.6,0.06657822813923145
8.35999999999991,stop sign,669,210,53,53,6.792452830188681,11.959196090698242,5.166743260509561,11.917242050170898,1.4343312613709678,0.6,0.07724378750159828
