t,v_mps,tau_dyn,D_safety_dyn,sigma_depth,a_des,brake
0.02,0.13717941641807554,,,,,
0.12000000000000001,1.1605536222457886,,,,,
0.23999999999999996,2.334397077560425,,,,,
0.34,3.3115232467651365,0.5386882043426874,4.0,0.55,0.24992390779686136,0.038175876915970575
0.4400000000000001,4.287674021720886,,,,,
0.5400000000000001,5.262849617004394,,,,,
0.6400000000000002,5.25864267198153,,,,,
0.7400000000000003,0.4069130436199643,,,,,
0.8400000000000004,0.7221371347670236,,,,,
0.9400000000000005,0.9101139383919177,,,,,
1.0600000000000005,1.2905205154590256,,,,,
1.1600000000000006,1.5592156037381697,,,,,
1.2600000000000007,1.7856058953307152,,,,,
1.3600000000000008,1.892740252661431,,,,,
1.4600000000000009,2.080476905461527,,,,,
1.560000000000001,2.4644921051896533,,,,,
1.660000000000001,2.8446293921522416,,,,,
1.7600000000000011,3.2323784743176063,,,,,
1.8600000000000012,3.6510799434221344,,,,,
1.9600000000000013,4.065730869601566,,,,,
2.0600000000000014,4.4662849389957335,,,,,
2.1600000000000015,4.846601565554021,,,,,
2.2600000000000016,5.19761160794925,,,,,
2.3600000000000017,5.505254265283179,,,,,
2.4600000000000017,5.792288225956627,,,,,
2.560000000000002,6.05184373686961,,,,,
2.660000000000002,6.199618788339469,0.5426743525942477,5.554317983178626,0.357434077860713,0.8880573704089751,0.11475755272734435
2.760000000000002,6.051970620617945,0.5417914662336105,5.523082631814933,0.357434077860713,0.8417223275239718,0.10575507251801744
2.860000000000002,5.911244647302853,0.48863386174848045,5.3579421585736515,0.32307226582767307,0.8370726134751847,0.10517385826191905
2.960000000000002,5.772054898082686,0.49240354860010216,5.2351359544109854,0.29898284567334454,0.8147520974291798,0.10238379375616843
3.0600000000000023,5.632384541073417,0.5399977213393019,5.156257663721268,0.28678319883917236,0.8051049310512179,0.10117789795892321
3.1600000000000024,5.493506639576575,0.5361486370728646,5.077809756412682,0.2729460520696752,0.7789775382933556,0.09791197386419041
3.2600000000000025,5.337575311578344,0.548686574310925,7.282315478650277,0.8317694878783305,1.5841004305680355,0.2019455555378602
3.3600000000000025,5.175884131561405,0.506685014827627,5.76558540778009,0.4588905410807505,0.749965899320394,0.0943188500126548
3.4600000000000026,5.049579295243341,0.4561649597073355,5.0159603410351306,0.2757852669718262,0.6917293140083778,0.08703927684865277
3.5600000000000027,4.927323847360273,0.4263721882477593,4.839234699255782,0.23796517434984585,0.662352700591942,0.0833672001715983
3.660000000000003,4.806158068790246,0.44843171742037086,4.765582451667008,0.22426910756711377,0.6488854730189255,0.08168379672497124
3.760000000000003,4.68850927576586,0.48232781811678477,4.700185756971848,0.21296591798373118,0.6378929068213429,0.08030972595027341
3.860000000000003,4.573758947234356,0.47999458228417813,4.640094433146745,0.20396889276202865,0.6207826370461025,0.07817094222836836
