scenario,trigger_kind,mu,v_init_mps,s_init_m,s_min_m,stopped,t_to_stop_s,collision
lead_vehicle_15mps1,stop sign,0.9,0.09846371666958906,9.876459042231241,9.876459042231241,True,0.019999999999999574,False
lead_vehicle_15mps1,car,0.9,0.0,1.9475818872451782,1.9469858407974243,True,0.019999999999999574,False
lead_vehicle_15mps1,car,0.9,0.0,1.7806888818740845,1.7806888818740845,True,0.020000000000003126,False
lead_vehicle_15mps1,collision,0.9,4.603972181195551,1.5077592134475708,1.5077592134475708,False,0.0,True
lead_vehicle_15mps1,car,0.9,0.08460090272702751,1.6579033136367798,1.6575456857681274,True,0.01999999999999602,True
