t,cls,x,y,w,h,s_stereo_m,s_depth_m,err_stereo_depth_m,s_pinhole_m,ego_v_mps,mu
4.59999999999999,stop sign,595,237,29,30,21.377321243286133,21.10159683227539,0.2757244110107422,12.000000000000004,3.5889430466496233,0.2
4.6199999999999894,stop sign,595,237,29,30,20.94545555114746,21.0307559967041,-0.08530044555664062,12.000000000000004,3.5698700685655913,0.2
4.639999999999989,stop sign,595,237,29,30,20.94545555114746,20.960302352905273,-0.0148468017578125,12.000000000000004,3.5506930756474846,0.2
4.659999999999989,stop sign,596,236,29,30,21.051776885986328,20.889432907104492,0.16234397888183594,12.000000000000004,3.5318872773262013,0.2
4.679999999999988,stop sign,595,235,30,31,20.84020233154297,20.81975555419922,0.02044677734375,11.612903225806456,3.5133658784273067,0.2
4.699999999999988,stop sign,596,235,31,31,21.051776885986328,20.74945068359375,0.3023262023925781,11.612903225806456,3.4942210576965804,0.2
4.719999999999987,stop sign,596,235,31,30,20.632837295532227,20.68048858642578,-0.04765129089355469,12.000000000000004,3.475368122641056,0.2
4.739999999999987,stop sign,597,235,30,31,20.736000061035156,20.61104965209961,0.12495040893554688,11.612903225806456,3.4563178458749784,0.2
4.7599999999999865,stop sign,598,235,30,31,20.736000061035156,20.54208755493164,0.19391250610351562,11.612903225806456,3.437645236499045,0.2
4.779999999999986,stop sign,598,235,30,31,20.32941246032715,20.474376678466797,-0.14496421813964844,11.612903225806456,3.419025427316447,0.2
4.799999999999986,stop sign,597,235,31,31,20.53069496154785,20.407976150512695,0.12271881103515625,11.612903225806456,3.400376705707778,0.2
4.819999999999985,stop sign,597,235,31,31,20.42955780029297,20.3410701751709,0.08848762512207031,11.612903225806456,3.382161838838437,0.2
4.839999999999985,stop sign,598,235,31,30,20.32941246032715,20.2736873626709,0.05572509765625,12.000000000000004,3.3639336353627876,0.2
4.859999999999984,stop sign,598,235,31,31,20.23024559020996,20.207555770874023,0.0226898193359375,11.612903225806456,3.3457118757391067,0.2
4.879999999999984,stop sign,598,234,32,31,20.13204002380371,20.14157485961914,-0.009534835815429688,11.612903225806456,3.327705700665297,0.2
4.8999999999999835,stop sign,598,234,32,31,20.13204002380371,20.076217651367188,0.05582237243652344,11.612903225806456,3.3097703125871787,0.2
4.919999999999983,stop sign,598,234,33,31,20.0347843170166,20.010799407958984,0.023984909057617188,11.612903225806456,3.291948256702896,0.2
4.939999999999983,stop sign,599,234,33,31,20.0347843170166,19.94532585144043,0.08945846557617188,11.612903225806456,3.274092729103229,0.2
4.959999999999982,stop sign,599,234,33,31,19.93846321105957,19.881071090698242,0.057392120361328125,11.612903225806456,3.2563833654108016,0.2
4.979999999999982,stop sign,599,234,33,31,19.843063354492188,19.817174911499023,0.025888442993164062,11.612903225806456,3.238669707079471,0.2
4.999999999999981,stop sign,600,234,33,31,19.748573303222656,19.75277328491211,-0.004199981689453125,11.612903225806456,3.2211330285820767,0.2
5.019999999999981,stop sign,600,234,33,31,19.654977798461914,19.68956184387207,-0.03458404541015625,11.612903225806456,3.203724397718138,0.2
5.0399999999999805,stop sign,601,234,33,32,19.654977798461914,19.625783920288086,0.029193878173828125,11.250000000000004,3.1861782075262757,0.2
5.05999999999998,stop sign,602,234,33,32,19.562265396118164,19.562454223632812,-0.0001888275146484375,11.250000000000004,3.1690687725076323,0.2
5.07999999999998,stop sign,602,234,33,32,19.379440307617188,19.500286102294922,-0.12084579467773438,11.250000000000004,3.1518337018913893,0.2
5.099999999999979,stop sign,603,234,32,32,19.470422744750977,19.438030242919922,0.03239250183105469,11.250000000000004,3.134805801085636,0.2
5.119999999999979,stop sign,603,234,33,32,19.470422744750977,19.376129150390625,0.09429359436035156,11.250000000000004,3.1181204060036483,0.2
5.139999999999978,stop sign,602,233,33,32,19.33437156677246,19.315959930419922,0.018411636352539062,11.250000000000004,3.1012843849024043,0.2
5.159999999999978,stop sign,603,234,33,33,19.289302825927734,19.254030227661133,0.03527259826660156,10.909090909090912,3.0847156467707615,0.2
5.1799999999999775,stop sign,604,234,33,33,19.111520767211914,19.192726135253906,-0.08120536804199219,10.909090909090912,3.0681425595925615,0.2
5.199999999999977,stop sign,604,234,33,33,19.111520767211914,19.132556915283203,-0.021036148071289062,10.909090909090912,3.051856328016437,0.2
5.219999999999977,stop sign,604,233,33,33,19.111520767211914,19.072891235351562,0.03862953186035156,10.909090909090912,3.035530693492296,0.2
5.239999999999976,stop sign,604,233,33,33,19.023853302001953,19.013378143310547,0.01047515869140625,10.909090909090912,3.019150317987409,0.2
5.259999999999976,stop sign,605,232,34,33,18.936986923217773,18.953266143798828,-0.016279220581054688,10.909090909090912,3.002967993757706,0.2
5.279999999999975,stop sign,605,232,34,33,18.850910186767578,18.894405364990234,-0.04349517822265625,10.909090909090912,2.9866945739632773,0.2
5.299999999999975,stop sign,605,233,34,32,18.850910186767578,18.835784912109375,0.015125274658203125,11.250000000000004,2.9706985493600193,0.2
5.3199999999999745,stop sign,605,233,35,32,18.76561164855957,18.77689552307129,-0.01128387451171875,11.250000000000004,2.9547114995681123,0.2
5.339999999999974,stop sign,605,233,35,31,18.850910186767578,18.71919822692871,0.1317119598388672,11.612903225806456,2.938733094484443,0.2
5.359999999999974,stop sign,606,233,34,31,18.76561164855957,18.66170883178711,0.10390281677246094,11.612903225806456,2.922937182513902,0.2
5.379999999999973,stop sign,607,233,34,32,18.59731101989746,18.603683471679688,-0.0063724517822265625,11.250000000000004,2.907150089517447,0.2
5.399999999999973,stop sign,607,233,35,32,18.59731101989746,18.546106338500977,0.051204681396484375,11.250000000000004,2.891466866342206,0.2
5.419999999999972,stop sign,607,233,35,32,18.59731101989746,18.489601135253906,0.10770988464355469,11.250000000000004,2.875816452753427,0.2
