scenario,trigger_kind,mu,v_init_mps,s_init_m,s_min_m,stopped,t_to_stop_s,collision,episode_idx,t_start,t_stop,t_to_stop_est,v_init_mps_tele,stopped_tele,dist_travelled_m,max_decel_mps2,tau_dyn_start,D_safety_dyn_start
lead_vehicle_15mps1,stop sign,0.9,0.098463716669589,9.87645904223124,9.87645904223124,True,0.0199999999999995,False,1,2.660000000000002,13.5599999999998,10.899999999999798,6.199618788339469,True,22.745545287081786,1.6169118001693836,0.5426743525942477,5.554317983178626
lead_vehicle_15mps1,car,0.9,0.0,1.9475818872451784,1.9469858407974243,True,0.0199999999999995,False,3,28.07999999999949,29.159999999999467,1.079999999999977,6.976761047769264,True,3.498999571655231,7.187955516308107,0.4453894742557764,4.90963787274911
lead_vehicle_15mps1,car,0.9,0.0,1.7806888818740845,1.7806888818740845,True,0.0200000000000031,False,4,31.79999999999941,32.139999999999425,0.34000000000001407,2.030329964579058,True,0.3544238720381658,6.354223927095506,0.4014645065458254,3.813493422468784
lead_vehicle_15mps1,collision,0.9,4.603972181195551,1.5077592134475708,1.5077592134475708,False,0.0,True,5,36.740000000000144,37.44000000000025,,8.007763405939457,False,4.020862956562085,7.182542921925826,0.3963056254538103,4.88528804957103
