scenario,trigger_kind,mu,v_init_mps,s_init_m,s_min_m,stopped,t_to_stop_s,collision
stop_sign,stop sign,0.6,0.09643938551181128,8.60996217727661,8.609205937915377,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.08696312876976865,8.608496896425883,8.607822632789611,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.07748526530662524,8.60723652044932,8.60667994817098,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.06800458772193732,8.606152447064717,8.605712628364563,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0585183269424967,8.60530365202162,8.604951587253147,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.60462855497996,8.604394386079576,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.60421835369534,8.604071513811746,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.613095911873712,8.603983831405639,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.603983643849691,8.603983643849691,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604071425331963,8.604071425331963,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604101053873698,8.604101053873698,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604100998772516,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042321311102,8.604042321311102,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604071602291532,8.604071602291532,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604071602291532,8.604071602291532,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604042442639669,8.604042442639669,True,0.019999999999999574,False
stop_sign,stop sign,0.6,0.0,8.604071602291532,8.604042442639669,True,0.019999999999999574,False
