scenario,trigger_kind,mu,v_init_mps,s_init_m,s_min_m,stopped,t_to_stop_s,collision
stop_sign_snow,stop sign,0.2,0.09675208793134885,9.903694152832031,9.902940816349453,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.08733719534980684,9.902245428827072,9.901492092344496,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.07768500184169018,9.900912602742512,9.900477753745184,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.06827043979634914,9.89998541937934,9.899521827697754,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.058615287868673836,9.899029029740227,9.898681335979038,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.898391591178045,9.898159795337254,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.897985948456657,9.89787005053626,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.897812101576063,9.897812101576063,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.909980363316006,9.909980363316006,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910038312276203,9.910038312276203,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.910067518552143,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.910067518552143,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
stop_sign_snow,stop sign,0.2,0.0,9.8978992568122,9.8978992568122,True,0.019999999999999574,False
