t,cls,x,y,w,h,s_pinhole_m,s_depth_m,abs_diff_m,s_stereo_m,ego_v_mps,mu,sigma_depth
0.34,person,581,289,15,39,20.92307692307693,22.62461280822754,1.7015358851506086,nan,3.3115232467651365,0.2,nan
0.8600000000000004,stop sign,536,250,20,19,18.947368421052637,36.48630142211914,17.538933001066503,36.37894821166992,0.7817484707638047,0.2,0.4
0.8800000000000004,person,583,259,14,39,20.92307692307693,22.512287139892578,1.5892102168156477,nan,0.8190623340247439,0.2,0.42070062935352326
2.4200000000000017,stop sign,555,252,20,20,18.000000000000007,31.702163696289062,13.702163696289055,31.658016204833984,5.6802160123477075,0.2,0.3094904405474663
2.600000000000002,stop sign,558,250,22,20,18.000000000000007,30.625732421875,12.625732421874993,30.720001220703125,6.114626695810111,0.2,0.32331659374833105
2.620000000000002,stop sign,558,249,22,20,18.000000000000007,30.502708435058594,12.502708435058587,30.271533966064453,6.137091224967487,0.2,0.3282891083234548
2.640000000000002,stop sign,558,249,22,20,18.000000000000007,30.3792667388916,12.379266738891594,30.49411964416504,6.119193375209666,0.2,0.32880403378921746
2.820000000000002,stop sign,560,243,23,22,16.36363636363637,29.28817367553711,12.924537311900739,29.20563507080078,5.843553166609929,0.2,0.3291644816152513
2.840000000000002,stop sign,562,242,23,22,16.36363636363637,29.168071746826172,12.804435383189801,29.001399993896484,5.813536230070339,0.2,0.32254345567887843
2.860000000000002,stop sign,562,242,23,23,15.652173913043484,29.05187225341797,13.399698340374485,29.20563507080078,5.783475311198155,0.2,0.3159893487523603
2.880000000000002,stop sign,562,242,23,23,15.652173913043484,28.936416625976562,13.284242712933079,29.001399993896484,5.7535451229794905,0.2,0.3120322221757397
2.900000000000002,stop sign,561,242,23,23,15.652173913043484,28.823169708251953,13.17099579520847,28.80000114440918,5.723873007859615,0.2,0.30800073702822106
2.920000000000002,stop sign,561,242,26,23,15.652173913043484,28.707416534423828,13.055242621380344,29.001399993896484,5.694006025189739,0.2,0.305178697424958
2.940000000000002,stop sign,562,242,25,22,16.36363636363637,28.592945098876953,12.229308735240583,28.80000114440918,5.664017881493172,0.2,0.39154539988684745
2.960000000000002,stop sign,562,242,24,22,16.36363636363637,28.48202133178711,12.118384968150739,28.601381301879883,5.634156202277403,0.2,0.36365996142599644
2.980000000000002,stop sign,563,242,25,21,17.14285714285715,28.367698669433594,11.224841526576444,28.601381301879883,5.6043732988793336,0.2,0.3429041031823711
3.000000000000002,stop sign,563,242,26,21,17.14285714285715,28.2568359375,11.11397879464285,28.021623611450195,5.574495195263171,0.2,0.41311249401949934
3.0200000000000022,stop sign,563,242,24,21,17.14285714285715,28.147968292236328,11.005111149379179,28.21224594116211,5.544199044127243,0.2,0.373963748283666
3.1200000000000023,stop sign,564,242,27,23,15.652173913043484,27.603538513183594,11.95136460014011,27.648000717163086,5.3957430812658895,0.2,0.3465596262685827
3.1400000000000023,stop sign,565,242,26,24,15.000000000000005,27.496458053588867,12.496458053588862,27.833559036254883,5.366478368844318,0.2,0.32512436477846507
3.2000000000000024,person,608,273,11,28,29.14285714285715,19.62158203125,9.52127511160715,29.41276741027832,5.280041536308017,0.2,0.3101196817353827
3.2200000000000024,stop sign,567,242,26,24,15.000000000000005,27.073444366455078,12.073444366455073,27.105884552001953,5.248108007831956,0.2,0.46011968173538265
3.2400000000000024,stop sign,567,242,26,24,15.000000000000005,26.96967315673828,11.969673156738276,27.464902877807617,5.218628905435198,0.2,0.47764750125575295
3.2400000000000024,person,610,275,11,26,31.384615384615394,19.379199981689453,12.00541540292594,29.41276741027832,5.218628905435198,0.2,0.47764750125575295
3.2600000000000025,stop sign,567,242,26,24,15.000000000000005,26.86655616760254,11.866556167602534,26.75613021850586,5.186692356391584,0.2,0.627647501255753
3.2600000000000025,person,611,275,10,26,31.384615384615394,19.27611541748047,12.108499967134925,29.62285804748535,5.186692356391584,0.2,0.627647501255753
3.2800000000000025,stop sign,568,241,26,24,15.000000000000005,26.762725830078125,11.76272583007812,26.92987060546875,5.153894531121718,0.2,0.777647501255753
3.3000000000000025,stop sign,568,242,26,24,15.000000000000005,26.66086196899414,11.660861968994135,26.75613021850586,5.124754248706158,0.2,0.627647501255753
3.3000000000000025,person,612,276,11,26,31.384615384615394,19.067020416259766,12.317594968355628,28.80000114440918,5.124754248706158,0.2,0.627647501255753
3.3200000000000025,stop sign,568,241,27,24,15.000000000000005,26.558849334716797,11.558849334716792,26.58461570739746,5.092009705939922,0.2,0.777647501255753
